Title,Description,Author,Rating,Reviews,Total Hours,Number of Lectures,Difficulty,Discounted Price,Original Price,Tags
The Complete 2023 Web Development Bootcamp,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, MongoDB, Web3 and DApps",Dr. Angela Yu,4.7 out of 5,"257,801",65.5 total hours,490 lectures,All Levels,₱999,"₱4,790",Bestseller
The Web Developer Bootcamp 2023,"COMPLETELY REDONE - The only course you need to learn web development - HTML, CSS, JS, Node, and More!",Colt Steele,4.7 out of 5,"253,660",64 total hours,615 lectures,All Levels,₱799,"₱4,790",None
Angular - The Complete Guide (2023 Edition),"Master Angular (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",Maximilian Schwarzmüller,4.6 out of 5,"179,126",34.5 total hours,472 lectures,All Levels,₱799,"₱4,490",Bestseller
The Complete JavaScript Course 2023: From Zero to Expert!,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",Jonas Schmedtmann,4.7 out of 5,"165,404",69 total hours,320 lectures,All Levels,₱899,"₱4,790",Bestseller
Build Responsive Real-World Websites with HTML and CSS,"Learn modern HTML5, CSS3 and web design by building a stunning website for your portfolio! Includes flexbox and CSS Grid",Jonas Schmedtmann,4.8 out of 5,"89,447",37.5 total hours,151 lectures,All Levels,₱799,"₱4,790",Bestseller
Modern React with Redux [2023 Update],"Master React and Redux Toolkit.  Includes RTK Query, tons of custom hooks, and more!  Course 100% Updated November 2022",Stephen Grider,4.7 out of 5,"79,626",64 total hours,722 lectures,All Levels,₱899,"₱3,990",Bestseller
The Complete Web Developer Course 3.0,"Learn Web Development in 2023! Build apps, website, projects using HTML, CSS, Javascript, PHP, Python, MySQL & more!","Rob Percival, Codestars • over 2 million students worldwide!",4.5 out of 5,"70,842",31 total hours,220 lectures,All Levels,₱899,"₱4,790",None
The Complete Web Developer in 2023: Zero to Mastery,"Learn to code and become a Web Developer in 2023 with HTML, CSS, Javascript, React, Node.js, Machine Learning & more!","Andrei Neagoie, Zero To Mastery",4.7 out of 5,"59,302",38.5 total hours,402 lectures,All Levels,₱799,"₱4,490",None
Vue - The Complete Guide (incl. Router & Composition API),Vue.js is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!,Maximilian Schwarzmüller,4.7 out of 5,"57,668",32 total hours,330 lectures,All Levels,₱899,"₱4,490",Bestseller
Python and Django Full Stack Web Developer Bootcamp,"Learn to build websites with HTML , CSS , Bootstrap , Javascript , jQuery , Python 3 , and Django!",Jose Portilla,4.5 out of 5,"46,315",32 total hours,198 lectures,All Levels,₱799,"₱4,490",Bestseller
JavaScript: Understanding the Weird Parts,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",Anthony Alicea,4.7 out of 5,"46,259",12 total hours,89 lectures,All Levels,₱649,"₱3,790",None
Master Microservices with Spring Boot and Spring Cloud,"Java Spring Boot Microservices 5-in-1 - Spring Boot, Spring Cloud, Docker, Kubernetes and REST API (REST Web Services)",in28Minutes Official,4.6 out of 5,"42,196",22 total hours,261 lectures,All Levels,₱599,₱799,Bestseller
"Advanced CSS and Sass: Flexbox, Grid, Animations and More!","The most advanced and modern CSS course on the internet: master flexbox, CSS Grid, responsive design, and so much more.",Jonas Schmedtmann,4.8 out of 5,"39,419",28 total hours,126 lectures,Intermediate,₱899,"₱4,790",Bestseller
Understanding TypeScript,"Boost your JavaScript projects with TypeScript: Learn all about core types, generics, TypeScript + React or Node & more!",Maximilian Schwarzmüller,4.7 out of 5,"39,246",15 total hours,198 lectures,All Levels,₱649,"₱3,790",Bestseller
HTML and CSS for Beginners - Build a Website & Launch ONLINE,HTML and CSS for Beginners  course will give your all the knowledge you need to master HTML and CSS easily and quickly.,"Edwin Diaz, Coding Faculty Solutions",4.5 out of 5,"34,303",6 total hours,49 lectures,All Levels,₱649,"₱1,990",None
The Complete ASP.NET MVC 5 Course,"Learn to build fast and secure web applications with ASP.NET MVC 5 - The most popular course with 40,000+ students!",Mosh Hamedani,4.3 out of 5,"32,244",7.5 total hours,139 lectures,All Levels,₱899,"₱4,490",Bestseller
Modern JavaScript From The Beginning,Learn and build projects with pure JavaScript (No frameworks or libraries),Brad Traversy,4.6 out of 5,"30,639",21.5 total hours,122 lectures,All Levels,₱799,"₱3,790",None
Learn and Understand NodeJS,"Dive deep under the hood of NodeJS. Learn V8, Express, the MEAN stack, core Javascript concepts, and more.",Anthony Alicea,4.5 out of 5,"27,914",13 total hours,97 lectures,All Levels,₱649,"₱3,290",None
The Complete Angular Course: Beginner to Advanced,"The most comprehensive Angular 4 (Angular 2+) course. Build a real e-commerce app with Angular, Firebase and Bootstrap 4",Mosh Hamedani,4.4 out of 5,"26,377",29.5 total hours,376 lectures,All Levels,₱799,"₱4,490",None
